"date(epoch)",count(*)
"2016-08-12",249
"2016-08-13",277
"2016-08-14",275
"2016-08-15",228
"2016-08-16",282
"2016-08-17",240
"2016-08-18",130
"2016-08-19",222
"2016-08-20",278
"2016-08-21",253
"2016-08-22",237
"2016-08-23",276
"2016-08-24",255
"2016-08-25",187
"2016-08-26",223
"2016-08-27",274
"2016-08-28",261
"2016-08-29",285
"2016-08-30",285
"2016-08-31",250
"2016-09-01",253
"2016-09-02",238
"2016-09-03",256
"2016-09-04",207
"2016-09-05",246
"2016-09-06",247
"2016-09-07",274
"2016-09-08",276
"2016-09-09",278
"2016-09-10",193
"2016-09-11",225
"2016-09-12",253
"2016-09-13",276
"2016-09-14",226
"2016-09-15",238
"2016-09-16",273
"2016-09-17",263
"2016-09-18",229
"2016-09-19",266
"2016-09-20",287
"2016-09-21",255
"2016-09-22",240
"2016-09-23",240
"2016-09-24",233
"2016-09-25",263
"2016-09-26",263
"2016-09-27",264
"2016-09-28",250
"2016-09-29",271
"2016-09-30",282
"2016-10-01",226
"2016-10-02",269
"2016-10-03",270
"2016-10-04",264
"2016-10-05",244
"2016-10-06",202
"2016-10-07",205
"2016-10-08",232
"2016-10-09",235
"2016-10-10",249
"2016-10-11",283
"2016-10-12",210
"2017-01-10",151
"2017-01-11",288
"2017-01-12",288
"2017-01-13",288
"2017-01-14",288
"2017-01-15",288
"2017-01-16",288
"2017-01-17",288
"2017-01-18",288
"2017-01-19",288
"2017-01-20",288
"2017-01-21",288
"2017-01-22",288
"2017-01-23",113
