minutes,chart,,"Beta(2,5)",t,"bernstein(1,3)","scaled bernstein(1,3)",scaled beta,scaled chart
0,0,,0,0,0,0,0,0
5,0.4,,0.467490779,0.016666667,0.048347222,0.10878125,0.190222485,0.074487896
10,0.8,,0.87318642,0.033333333,0.093444444,0.21025,0.355300464,0.148975791
15,1.09,,1.221759375,0.05,0.135375,0.30459375,0.497135162,0.202979516
20,1.38,,1.517669136,0.066666667,0.174222222,0.392,0.617541152,0.25698324
25,2.53,,1.76516686,0.083333333,0.210069444,0.47265625,0.718248234,0.47113594
30,3.68,,1.9683,0.1,0.243,0.54675,0.80090332,0.685288641
35,3.695,,2.130916937,0.116666667,0.273097222,0.61446875,0.867072321,0.688081937
40,3.71,,2.256671605,0.133333333,0.300444444,0.676,0.918242027,0.690875233
45,3.87,,2.349028125,0.15,0.325125,0.73153125,0.955821991,0.720670391
50,4.03,,2.411265432,0.166666667,0.347222222,0.78125,0.981146416,0.750465549
55,4.375,,2.446481906,0.183333333,0.366819444,0.82534375,0.995476036,0.814711359
60,4.72,,2.4576,0.2,0.384,0.864,1,0.878957169
65,4.77,,2.447370872,0.216666667,0.398847222,0.89740625,0.995837757,0.888268156
70,4.82,,2.418379012,0.233333333,0.411444444,0.92575,0.984040939,0.897579143
75,4.935,,2.373046875,0.25,0.421875,0.94921875,0.965595245,0.918994413
80,5.05,,2.313639506,0.266666667,0.430222222,0.968,0.941422325,0.940409683
85,5.2,,2.242269174,0.283333333,0.436569444,0.98228125,0.912381663,0.968342644
90,5.35,,2.1609,0.3,0.441,0.99225,0.879272461,0.996275605
95,5.36,,2.071352585,0.316666667,0.443597222,0.99809375,0.842835524,0.998137803
100,5.37,,1.975308642,0.333333333,0.444444444,1,0.803755144,1
105,5.33,,1.874315625,0.35,0.443625,0.99815625,0.76266098,0.99255121
110,5.29,,1.769791358,0.366666667,0.441222222,0.99275,0.720129947,0.985102421
115,5.005,,1.663028665,0.383333333,0.437319444,0.98396875,0.676688096,0.932029795
120,4.72,,1.5552,0.4,0.432,0.972,0.6328125,0.878957169
125,4.87,,1.447362076,0.416666667,0.425347222,0.95703125,0.588933136,0.90689013
130,5.02,,1.340460494,0.433333333,0.417444444,0.93925,0.545434771,0.934823091
135,4.9,,1.235334375,0.45,0.408375,0.91884375,0.502658844,0.912476723
140,4.78,,1.132720988,0.466666667,0.398222222,0.896,0.46090535,0.890130354
145,4.51,,1.033260378,0.483333333,0.387069444,0.87090625,0.420434724,0.839851024
150,4.24,,0.9375,0.5,0.375,0.84375,0.381469727,0.789571695
155,4.375,,0.845899344,0.516666667,0.362097222,0.81471875,0.344197324,0.814711359
160,4.51,,0.758834568,0.533333333,0.348444444,0.784,0.308770576,0.839851024
165,4.13,,0.676603125,0.55,0.334125,0.75178125,0.275310516,0.769087523
170,3.75,,0.599428395,0.566666667,0.319222222,0.71825,0.243908038,0.698324022
175,3.57,,0.527464313,0.583333333,0.303819444,0.68359375,0.214625779,0.664804469
180,3.39,,0.4608,0.6,0.288,0.648,0.1875,0.631284916
185,3.3,,0.39946439,0.616666667,0.271847222,0.61165625,0.162542477,0.61452514
190,3.21,,0.343430864,0.633333333,0.255444444,0.57475,0.139742376,0.597765363
195,2.83,,0.292621875,0.65,0.238875,0.53746875,0.119068146,0.527001862
200,2.45,,0.24691358,0.666666667,0.222222222,0.5,0.100469393,0.456238361
205,2.295,,0.206140471,0.683333333,0.205569444,0.46253125,0.083878772,0.427374302
210,2.14,,0.1701,0.7,0.189,0.42525,0.069213867,0.398510242
215,2.06,,0.138557215,0.716666667,0.172597222,0.38834375,0.056379075,0.383612663
220,1.98,,0.111249383,0.733333333,0.156444444,0.352,0.04526749,0.368715084
225,1.73,,0.087890625,0.75,0.140625,0.31640625,0.035762787,0.322160149
230,1.48,,0.068176543,0.766666667,0.125222222,0.28175,0.027741106,0.275605214
235,1.34,,0.05178885,0.783333333,0.110319444,0.24821875,0.021072937,0.249534451
240,1.2,,0.0384,0.8,0.096,0.216,0.015625,0.223463687
245,1.23,,0.027677816,0.816666667,0.082347222,0.18528125,0.011262132,0.229050279
250,1.26,,0.019290123,0.833333333,0.069444444,0.15625,0.007849171,0.234636872
255,1.175,,0.012909375,0.85,0.057375,0.12909375,0.005252838,0.218808194
260,1.09,,0.008217284,0.866666667,0.046222222,0.104,0.003343621,0.202979516
265,0.88,,0.004909452,0.883333333,0.036069444,0.08115625,0.001997661,0.163873371
270,0.67,,0.0027,0.9,0.027,0.06075,0.001098633,0.124767225
275,0.715,,0.001326196,0.916666667,0.019097222,0.04296875,0.000539631,0.133147114
280,0.76,,0.000553086,0.933333333,0.012444444,0.028,0.000225051,0.141527002
285,0.535,,0.000178125,0.95,0.007125,0.01603125,7.24792E-05,0.099627561
290,0.31,,3.58025E-05,0.966666667,0.003222222,0.00725,1.45681E-05,0.057728119
295,0.155,,2.27623E-06,0.983333333,0.000819444,0.00184375,9.26202E-07,0.02886406
300,0,,0,1,0,0,0,0
